misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss,pred_accuracy
20,7560,415,-1.541454733333333,1.011318176984787,-0.008941167593002319,0.02211214737035334,0.0
40,14760,400,-1.12675828,0.38368019461631775,-0.0006632358767092228,0.15310821812599898,0.0
60,21960,398,-0.32406866000000006,0.4563117742538452,-0.00033714732271619143,0.1885636880993843,0.0
80,29160,394,-0.06907593999999995,0.16067012697458266,-0.00046893265098333357,0.21361147463321686,0.0
100,36360,399,-0.63419281,0.2548828020691872,-0.0005977781489491463,0.14063872247934342,0.0
120,43560,402,-0.13054614000000006,0.6609635353088379,-0.0008783336728811264,0.10261393189430237,0.0
140,50760,407,-0.6701661800000001,0.8194138586521149,-0.0006025455892086029,0.22989568561315538,0.0
160,57960,410,-0.57175632,0.4910319298505783,-0.0006206175312399864,0.24190456792712212,0.0
180,65160,410,-0.19126318,0.5391813904047013,-0.0008277714252471924,0.27001582831144333,0.0
200,72360,410,-0.08653189000000001,0.3859716236591339,-0.0002316933125257492,0.13721348494291305,0.0
220,79560,409,-0.87323525,0.4028546750545502,-0.0009808726608753204,0.18239398747682573,0.0
240,86760,408,-0.64153722,0.4586817532777786,0.00010066553950309754,0.3444464266300201,0.0
260,93960,406,-0.5462784199999999,0.5735490053892136,-0.0016474351286888123,0.17541218027472497,0.0
280,101160,407,-0.19250381999999994,0.7134405732154846,-0.002185734501108527,0.14704964458942413,0.0
300,108360,407,-0.50885945,0.8257174730300904,-0.0009679824113845825,0.13377837240695953,0.0
320,115560,406,-0.6006527799999999,0.7843998551368714,-0.0018554344773292542,0.08210745733231306,0.0
340,122760,406,-0.4495601299999999,0.5219415217638016,-0.0005790825001895427,0.12674223706126214,0.0
360,129960,405,-0.40768172999999996,0.6306089907884598,-0.0010030172765254975,0.071492238342762,0.0
380,137160,405,-0.6148872,0.6930578052997589,-0.001184350810945034,0.1725374110043049,0.0
400,144360,406,-0.8308691800000001,0.5373892575502396,-0.0009813198819756507,0.08857260867953301,0.0
420,151560,405,-0.6814687299999999,0.5815441489219666,-0.000622086226940155,0.16892836429178715,0.0
440,158760,405,-0.67061022,0.4449790269136429,-0.0005593951791524887,0.3705044388771057,0.0
460,165960,404,-0.4442143900000001,0.159552388638258,-0.0001544073224067688,0.19189557060599327,0.0
480,173160,403,-0.6810376599999999,0.39308145344257356,-0.000601235032081604,0.16624993160367013,0.0
500,180360,403,-1.2451212500000002,0.7936665654182434,-0.0017769623547792435,0.10141917914152146,0.0
520,187560,404,-1.22017167,0.48297003507614134,-0.000688183307647705,0.14214619398117065,0.0
540,194760,404,-0.64218034,0.6281973630189895,-0.0025464833597652614,0.31558754444122317,0.0
560,201960,404,-0.74593935,0.6332471609115601,-0.0009408386424183846,0.08833364769816399,0.0
580,209160,404,-0.5215485900000001,0.6182590246200561,-0.0017556965351104737,0.13673628885298966,0.0
600,216360,404,-0.8355593800000001,0.972419261932373,-0.001028183102607727,0.03408804628998041,0.0
