epoch,loss,act_loss,kl_loss,beta
1,0.8298847692785785,0.8268481800332665,0.0030365890725079225,5e-07
2,0.6934113432653248,0.6900587913114578,0.0033525513822496578,5e-07
3,0.6060112873092294,0.6023769985185936,0.0036342898024486203,5e-07
4,0.5379702486097813,0.5339738057227805,0.003996443687356077,5e-07
5,0.47724577074404806,0.4729359135380946,0.004309857999942324,5e-07
6,0.42653507576324046,0.42195569357136264,0.004579382013616851,5e-07
7,0.3955038712010719,0.3907647290616296,0.004739140639685502,5e-07
8,0.3425629133998882,0.3376926935161464,0.0048702196472731885,5e-07
9,0.30925655650207773,0.30429075489519164,0.004965801465004915,5e-07
10,0.27936101891100407,0.2742933974368498,0.0050676212240432505,5e-07
11,0.2650212701119017,0.25993086749804206,0.005090402235509828,5e-07
12,0.22763257686165161,0.22259637527167797,0.005036201549046382,5e-07
13,0.22018618718720973,0.21520357791450806,0.00498260915173887,5e-07
14,0.19904861084069125,0.194155100005446,0.004893510630608944,5e-07
15,0.2029183686536271,0.19824069333844818,0.0046776752060395665,5e-07
16,0.1913561830879189,0.1867935776244849,0.004562604965030914,5e-07
17,0.17914516900782473,0.17473776216502301,0.004407407069265901,5e-07
18,0.1779069929907564,0.17366090207360685,0.004246090617925802,5e-07
19,0.16590887490019668,0.1618209442240186,0.004087930717105337,5e-07
20,0.16873276827391237,0.16480264216079377,0.003930126164050307,5e-07
21,0.15286201718845405,0.14905754502979107,0.003804472148658533,5e-07
22,0.15730950668512378,0.15365339917480014,0.0036561075226018147,5e-07
23,0.14519994116562884,0.14166037131508347,0.0035395695913393865,5e-07
24,0.14463419522508048,0.14119985539582558,0.0034343397064731107,5e-07
25,0.14538116757466923,0.1420176906249253,0.003363476757385797,5e-07
26,0.13887985529436264,0.13559889206953812,0.003280963453107688,5e-07
27,0.13257829594658688,0.12936123811232392,0.003217057536403445,5e-07
28,0.13989696875796653,0.13674999139038846,0.003146977145661367,5e-07
29,0.11781066757976077,0.11473690591810737,0.003073761617542914,5e-07
30,0.11611372050538193,0.11306661984417588,0.0030471008744825667,5e-07
31,0.1173627124808263,0.11434318803367205,0.0030195244157766865,5e-07
32,0.11308944223856088,0.11010921017441433,0.0029802321273564303,5e-07
33,0.11228498967830092,0.10933560444391333,0.002949385220745171,5e-07
34,0.11332595549174584,0.11039658317167778,0.002929372286871512,5e-07
35,0.10590433223114815,0.10300165876105893,0.0029026736779087514,5e-07
36,0.11090588796650991,0.10801933574839495,0.002886552348627447,5e-07
37,0.10518167931877542,0.10230728537135292,0.002874394036552985,5e-07
38,0.105091769102728,0.10222532204352319,0.0028664471878983022,5e-07
39,0.10586549001163803,0.10300814754737075,0.0028573424478963716,5e-07
40,0.13208588839916047,0.1292391619645059,0.002846726286861667,5e-07
41,0.10060425728443079,0.09771969105349854,0.0028845663846368552,5e-07
42,0.09455390599032398,0.09169030064367689,0.0028636054198614147,5e-07
43,0.10413907321344595,0.10130227437184658,0.0028367987761157565,5e-07
44,0.09968676288553979,0.09684684799867682,0.0028399150974109943,5e-07
45,0.09484582657751162,0.09200637091998942,0.0028394553391990485,5e-07
46,0.09475258867314551,0.09191964013734832,0.002832948556260817,5e-07
47,0.10043756825325545,0.09761219385836739,0.0028253743148525245,5e-07
48,0.09894339079619385,0.09611550797126256,0.002827883016834676,5e-07
49,0.09257284899649676,0.0897496066900203,0.0028232424251655175,5e-07
50,0.08907841982727405,0.08625445925281383,0.0028239606008355622,5e-07
51,0.09411643228668254,0.09128720658191014,0.0028292255860833393,5e-07
52,0.09817176286014728,0.09535367221542401,0.002818090604705503,5e-07
53,0.08659806125797331,0.0837735108580091,0.002824550485911459,5e-07
54,0.09237157525785733,0.08954834591713734,0.0028232293630026106,5e-07
55,0.09093958807352465,0.0881243380572414,0.0028152499739917403,5e-07
56,0.08859587079496123,0.08577604518359294,0.0028198254804010503,5e-07
57,0.08697326670517214,0.0841592303768266,0.002814036536619824,5e-07
58,0.08845278967055492,0.08564219133404549,0.0028105983319619554,5e-07
59,0.08543790601834189,0.08263123803044436,0.002806668049288419,5e-07
60,0.08496826897317078,0.08216319296479924,0.0028050758428435074,5e-07
61,0.08495279832277447,0.08215216049575247,0.0028006378533973475,5e-07
62,0.08341582553839544,0.0806100759000401,0.002805749853450834,5e-07
63,0.08987314029945992,0.08707029938523192,0.0028028407427882485,5e-07
64,0.08677900573820807,0.08396881671797018,0.002810189155752596,5e-07
65,0.08447924570646137,0.0816708636120893,0.0028083819761377526,5e-07
66,0.08616648269526195,0.08336194512230577,0.002804537450629141,5e-07
67,0.086411461699754,0.08359758594451705,0.0028138758493696514,5e-07
68,0.08301881553779822,0.08019323962071212,0.002825575831138849,5e-07
69,0.07814527215668932,0.07530842760752421,0.0028368445896376215,5e-07
70,0.08058674300991697,0.07776722908602096,0.0028195138133924047,5e-07
71,0.07442285324214026,0.07159446805599146,0.002828385190696281,5e-07
72,0.08382564676139737,0.08101123687811196,0.0028144097132098977,5e-07
73,0.06997221154597355,0.06714218844717834,0.00283002313472025,5e-07
74,0.07561508187063737,0.07279922204907052,0.0028158598320260353,5e-07
75,0.06751255400013179,0.06469715610001003,0.002815397766426031,5e-07
76,0.06834201111632865,0.0655273084921646,0.0028147026828264643,5e-07
77,0.0705911853001453,0.06778604690771317,0.002805138393796369,5e-07
78,0.07032918798358878,0.06752194237924414,0.0028072456975678506,5e-07
